player,pitch,x,y,release_speed,release_spin
Adrian Sampson,Slider,0.307819361,1.719348641,83.90102639,2595.206538
Alec Mills,2-Seam Fastball,-0.309110438,2.230477135,89.88230769,2201.530769
Alec Mills,4-Seam Fastball,0.391960079,2.707587026,89.47,2217.564706
Alec Mills,Changeup,-0.302564311,1.599920051,80.74339623,1726.726415
Alec Mills,Curveball,0.166913343,1.925006396,67.57325581,2511.011628
Alec Mills,Slider,0.912631552,1.611820714,78.18032787,2608.52459
Alex Avila,Curveball,-0.602453524,2.531396901,73.504,1825.32
Alex Claudio,4-Seam Fastball,-0.259161119,2.439701672,85.50526316,2055.947368
Alex Claudio,Changeup,0.312405909,1.700543141,73.2530086,2176.621777
Alex Claudio,Curveball,0.9351143,1.405747641,69.9,2099
Alex Claudio,Sinker,0.505948288,1.957861277,85.64918415,1983.857809
Alex Claudio,Slider,-0.413499884,1.697177808,76.56491228,2238.21374
Alex Cobb,4-Seam Fastball,0.177608341,2.489567467,92.26272727,2074.954545
Alex Cobb,Knuckle Curve,0.100201247,1.787021789,82.54102564,2493.461538
Alex Cobb,Split Finger,-0.553482616,1.738935628,86.505,1538.2375
Alex Colome,4-Seam Fastball,-0.089377566,2.654233683,94.39288256,2127.298932
Alex Colome,Changeup,0.08609247,1.573463958,91.24642857,2137.928571
Alex Colome,Cutter,0.188621501,1.698387424,90.3506006,2149.276276
Alex Gordon,4-Seam Fastball,-0.051584926,4.428092974,79.9,2020
Alex Gordon,Changeup,-0.383342662,3.166171709,69.2,1699.5
Alex Gordon,Curveball,-0.023736987,2.236229984,71.2625,1899.5
Alex Gordon,Sinker,0.085794627,2.519295626,79.53777778,1978.622222
Alex McRae,2-Seam Fastball,-0.24066372,1.934814278,92.61435897,2182.179487
Alex McRae,4-Seam Fastball,0.333939091,2.412632729,92.31612903,2153.817204
Alex McRae,Changeup,-0.348112249,1.829754252,86.15681818,1453.704545
Alex McRae,Curveball,0.495105116,1.535697084,80.00746269,2427.41791
Alex McRae,Slider,0.751524701,1.651613477,87.21428571,2289.760417
Alex Reyes,2-Seam Fastball,-0.441470037,2.627524012,96.445,2232.15
Alex Reyes,4-Seam Fastball,-0.153451436,2.734781948,96.99090909,2330.5
Alex Reyes,Changeup,0.273564222,0.965886777,89.76666667,1396.444444
Alex Reyes,Curveball,0.72023933,2.104889083,80.52,2593.6
Alex Reyes,Slider,1.21195657,1.738429211,87.02,2635.444444
Alex Wilson,2-Seam Fastball,-0.184844241,2.592134861,91.45087719,2156.052632
Alex Wilson,4-Seam Fastball,0.484166368,2.875956283,91.62,2387.628571
Alex Wilson,Changeup,-0.447391865,1.300340856,88.8,1788
Alex Wilson,Cutter,0.358454656,1.813631572,86.1,2512
Alex Wilson,Slider,0.832002004,1.700971376,85.6787037,2455.111111
Alex Wood,2-Seam Fastball,0.242830474,2.602347918,89.85283688,2111.567376
Alex Wood,4-Seam Fastball,0.204645869,2.419945397,89.97692308,2035.692308
Alex Wood,Changeup,0.491941169,1.617044252,83.61904762,1658.231293
Alex Wood,Knuckle Curve,-0.429743677,1.832895606,81.40069444,2161.256944
Alex Young,4-Seam Fastball,-0.639161294,2.271188842,89.76666667,2218.883598
Alex Young,Changeup,0.225648424,1.304639373,84.48345865,1794.221374
Alex Young,Curveball,-0.205050109,1.508393326,81.45526316,2379.05814
Alex Young,Cutter,-0.628413435,2.217828995,84.93495146,2346.987055
Alex Young,Sinker,0.468432693,2.006567477,88.95816327,2207.993197
Allen Webster,2-Seam Fastball,-0.078273818,2.326056204,93.8,2142.916667
Allen Webster,4-Seam Fastball,0.095917629,2.215782979,94.3852459,2197.295082
Allen Webster,Changeup,-0.469853308,1.119027811,87.84230769,1918.653846
Allen Webster,Slider,0.210414233,1.655515518,88.07916667,2456.074074
Amir Garrett,2-Seam Fastball,0.205487647,2.243060807,95.12289562,2065.195286
Amir Garrett,4-Seam Fastball,0.211690186,2.664128606,95.79117647,2116.72549
Amir Garrett,Slider,-0.361962297,1.692500359,85.77054545,1832.35348
Andres Munoz,2-Seam Fastball,0.192428898,2.490171492,101.1666667,2265.333333
Andres Munoz,4-Seam Fastball,-0.005197371,2.580196637,99.90945455,2271.225455
Andres Munoz,Cutter,-0.679849437,3.528175882,97.96666667,2198
Andres Munoz,Slider,0.648766475,1.735361564,86.47111111,2368.525253
Andrew Cashner,2-Seam Fastball,-0.041737963,2.286367821,91.91369863,2048.287671
Andrew Cashner,4-Seam Fastball,-0.016741614,2.644499093,93.93523726,2203.874341
Andrew Cashner,Changeup,-0.287427869,1.945020458,84.51171429,1544.846705
Andrew Cashner,Curveball,0.093903993,1.904380988,80.59963235,2349.231618
Andrew Cashner,Slider,0.494669416,1.740939443,85.73689024,2255.444795
Andrew Chafin,4-Seam Fastball,-0.296925982,2.583911132,93.58726592,2193.509363
Andrew Chafin,Sinker,0.672004957,2.473186195,93.79857651,2177.733096
Andrew Chafin,Slider,-0.565894975,1.242229932,84.40985507,2361.326531
Andrew Heaney,Changeup,0.30252922,1.841374656,84.68666667,1987.615686
Andrew Heaney,Curveball,-0.495666225,1.436506056,79.4232967,2545.362832
Andrew Heaney,Sinker,0.069168892,2.79329804,92.49856851,2523.649284
Andrew Kittredge,2-Seam Fastball,-0.574960257,2.140115192,94.78425926,2290.385802
Andrew Kittredge,4-Seam Fastball,-0.047482012,3.088168551,95.18278146,2351.350993
Andrew Kittredge,Changeup,0.092005789,0.97942761,85.81891892,1113.823529
Andrew Kittredge,Slider,0.539877321,1.551566732,88.28295082,2744.093117
Andrew Miller,2-Seam Fastball,0.97339669,1.957349769,94.3,1994
Andrew Miller,4-Seam Fastball,0.068619989,2.682777069,92.40983607,2084.827869
Andrew Miller,Changeup,-1.548082591,1.41116634,84.2,2732
Andrew Miller,Slider,-0.42287846,1.985778855,82.3770798,2597.552137
Andrew Moore,4-Seam Fastball,-0.053481363,2.277834994,91.15,2213.710526
Andrew Moore,Changeup,-0.275124106,2.218051692,81.64347826,1932.130435
Andrew Moore,Curveball,-0.104276757,1.735590301,76.93,1965.8
Andrew Moore,Slider,0.784918334,2.000676313,81.11428571,2073
Andrew Suarez,2-Seam Fastball,0.181590242,2.155681371,92.83227273,1983.622727
Andrew Suarez,4-Seam Fastball,-0.368301658,2.508716809,92.6297619,2040.428571
Andrew Suarez,Changeup,0.351194424,1.80163681,87.05063291,1652.155844
Andrew Suarez,Curveball,0.536760409,2.003667609,75.96896552,2551.714286
Andrew Suarez,Slider,-0.260058703,1.931242681,84.42539683,2379.060606
Andrew Vasquez,Changeup,1.405977152,3.508794503,85.35,2003.333333
Andrew Vasquez,Curveball,-0.600233591,0.877267475,78.2,2384.285714
Anibal Sanchez,4-Seam Fastball,0.034810569,2.518606515,90.18034611,2238.169345
Anibal Sanchez,Changeup,-0.31613255,1.649032988,70.71916667,1420.941176
Anibal Sanchez,Curveball,-0.120696674,2.236194792,76.8975,2113.354331
Anibal Sanchez,Cutter,0.354534922,2.376623318,87.64651899,2315.749604
Anibal Sanchez,Sinker,-0.195234557,2.431882972,90.41111111,2133.800766
Anibal Sanchez,Slider,0.807906553,1.919204502,83.21486486,2305.80597
Anibal Sanchez,Split Finger,-0.417486689,1.54715752,84.29478673,1717.33758
Anthony Banda,4-Seam Fastball,-0.522551802,2.490817764,92.45588235,2053.058824
Anthony Banda,Changeup,0.129948181,2.026351936,85.08571429,1706.761905
Anthony Banda,Curveball,-2.074451202,1.288808545,82.3,2121.25
Anthony Bass,2-Seam Fastball,0.105008564,2.347334029,95.31976744,2046.944767
Anthony Bass,4-Seam Fastball,0.49520477,1.993594815,95.315625,2056.84375
Anthony Bass,Slider,0.727412048,1.885849773,87.28438819,2293.515337
Anthony Bass,Split Finger,-0.154535035,1.54938584,86.56336634,1228.757576
Anthony DeSclafani,2-Seam Fastball,-0.129035532,2.560359307,94.53104925,2086.038544
Anthony DeSclafani,4-Seam Fastball,0.090686579,2.900031283,94.70955348,2249.133956
Anthony DeSclafani,Changeup,-0.340455459,1.971800895,88.53669065,1535.391304
Anthony DeSclafani,Knuckle Curve,0.207372118,1.592301552,83.34128205,2047.871148
Anthony DeSclafani,Slider,0.558511276,2.087270428,89.37452229,2315.076299
Anthony Kay,4-Seam Fastball,-0.048326585,2.954511806,93.4,2301.320755
Anthony Kay,Changeup,0.253094485,1.513846192,85.376,1920.2
Anthony Kay,Curveball,-0.173014979,1.83319384,78.11836735,2453
